index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,
4053,EMHY,iShares Emerging Markets High Yield Bond,USD,ETF,,EMHY was created on 04/03/12 by Blackrock. The ETF tracks an index comprising USD denominated emerging markets high yield bonds.,0,,4/3/2012,iShares Emerging Markets High Yield Bond,ETF,[],[],45.01,329298000,iShares Emerging Markets High Yield Bond,$,iShares J.P. Morgan EM High Yield Bond,iShares J.P. Morgan EM High Yield Bond,
1989,DFNL,Davis Select Financial ETF,USD,NASDAQ,,DFNL was created on 01/11/17 by Davis Advisers. The ETF is an actively managed portfolio of global financial sector stocks. The fund seeks long-term growth of capital.,0,,1/11/2017,Davis Select Financial ETF,ETF,[],[],22.25,22180464,Davis Select Financial ETF,$,Davis Select Financial ETF,Davis Select Financial ETF,
1990,DINT,Davis Select International ETF,USD,NASDAQ,,"DINT was created on 03/01/18 by Davis Advisers. The ETF is an actively managed portfolio of international stocks, from developed and emerging markets, selected based on prospects for long-term growth of capital.",0,,3/1/2018,Davis Select International ETF,ETF,,,22.27,117982365,Davis Select International ETF,$,Davis Fundamental ETF Trust Davis Select International ETF,Davis Fundamental ETF Trust Davis Select International ETF,
1991,DUSA,Davis Select U.S. Equity ETF,USD,NASDAQ,,DUSA was created on 01/11/17 by Davis Advisers. The ETF is an actively managed portfolio of US large-cap stocks. The fund seeks long-term capital growth and capital preservation.,0,,1/11/2017,Davis Select U.S. Equity ETF,ETF,[],[],27.9,187103250,Davis Select U.S. Equity ETF,$,Davis Select US Equity ETF,Davis Select US Equity ETF,
1992,DWLD,Davis Select Worldwide ETF,USD,NASDAQ,,DWLD was created on 01/11/17 by Davis Advisers. The ETF is an actively managed portfolio of global equity. The fund seeks long-term growth of capital.,0,,1/11/2017,Davis Select Worldwide ETF,ETF,[],[],28.57,219856000,Davis Select Worldwide ETF,$,Davis Select Worldwide ETF,Davis Select Worldwide ETF,
1993,SSUS,Day Hagan/Ned Davis Research Smart Sector ETF,USD,NYSE Arca,,SSUS was created on 01/17/20 by Donald L. Hagan LLC. The ETF is an actively-managed US fund of funds that overweights and underweights 11 US large-cap sectors based on proprietary risk model.,0,,1/17/2020,Day Hagan/Ned Davis Research Smart Sector ETF,ETF,,,27.85,0,Day Hagan/Ned Davis Research Smart Sector ETF,$,Day Hagan Ned Davis Research Smart Sector,Day Hagan Ned Davis Research Smart Sector,
2000,HYB-UN.TO,Ddj High Yield Fund,USD,TSX,,,Industrials,,,Ddj High Yield Fund,ETF,,,0,0,Ddj High Yield Fund,$,0,Ddj High Yield Fund,
2004,DVP,Deep Value,USD,NYSE Arca,,,0,,,Deep Value,ETF,[],[],21.8592,289389630,Deep Value,$,0,Deep Value,
2006,FIVG,Defiance 5G Next Gen Connectivity ETF,USD,NYSE Arca,,FIVG was created on 03/04/19 by Defiance ETFs. The ETF tracks a tier-weighted index of global equities related to 5G networks.,0,,3/4/2019,Defiance 5G Next Gen Connectivity ETF,ETF,,,31.14,0,Defiance 5G Next Gen Connectivity ETF,$,Defiance Next Gen Connectivity,Defiance Next Gen Connectivity,
2007,DIET,Defiance Next Gen Food & Agriculture ETF,USD,NYSE Arca,,,0,,,Defiance Next Gen Food & Agriculture ETF,ETF,,,22.48,0,Defiance Next Gen Food & Agriculture ETF,$,0,Defiance Next Gen Food & Agriculture ETF,
2008,QTUM,Defiance Quantum ETF,USD,NYSE Arca,,QTUM was created on 09/05/18 by Defiance ETFs. The ETF tracks an adjusted-equal-weighted index of companies involved in the research and development of quantum computers.,0,,9/5/2018,Defiance Quantum ETF,ETF,,,36.4,0,Defiance Quantum ETF,$,Defiance Quantum ETF,Defiance Quantum ETF,
2015,ALDSJ.PA,DELTA DRONE BSA J,USD,EURONEXT,,,Industrials,,,DELTA DRONE BSA J,ETF,,,0.0001,0,DELTA DRONE BSA J,$,0,DELTA DRONE BSA J,
2016,ALDBY.PA,DELTA DRONE BSA Y,USD,EURONEXT,,,Industrials,,,DELTA DRONE BSA Y,ETF,,,0.036,0,DELTA DRONE BSA Y,$,0,DELTA DRONE BSA Y,
2017,ALDR.PA,Delta Drone SA,EUR,EURONEXT,Aerospace & Defense,"Delta Drone SA manufactures and sells civilian and commercial drones. The company is headquartered in Dardilly, Auvergne-Rhone-Alpes and currently employs 484 full-time employees. The firm designs, produces, and sells civilian drones for professional use, intended for applications in the event, tourism, leisure, building and public works, and mining sectors. The group also offers consulting, technical assistance, and maintenance services. Delta Drone has one production site located in France. The firm has such subsidiaries as Cap Minerals Africa, Techni Drone, DRONEO, Groupe Keas and Delta Drone Africa, among others.",Industrials,FR,6/28/2013,Delta Drone SA,ETF,,,0.0219,441541,Delta Drone SA,€,0,Delta Drone SA,
2018,ALDBS.PA,Delta Drone SA,USD,EURONEXT,,,Industrials,,,Delta Drone SA,ETF,,,0.13,0,Delta Drone SA,$,0,Delta Drone SA,
2020,DMRM,DeltaShares S&P 400 Managed Risk,USD,NYSE Arca,,"DMRM was created on 07/31/17 by Transamerica Funds. The ETF offers dynamic exposure to US midcap equity, 5-year Treasuries, and T-bills, with the goal of maintaining a given volatility level. The fund is rebalanced daily.",0,,7/31/2017,DeltaShares S&P 400 Managed Risk,ETF,[],[],49.8403,3031479550,DeltaShares S&P 400 Managed Risk,$,DeltaShares S&P 400 Managed Risk ETF,DeltaShares S&P 400 Managed Risk ETF,
2021,DMRL,DeltaShares S&P 500 Managed Risk,USD,NYSE Arca,,"DMRL was created on 07/31/17 by Transamerica Funds. The ETF tracks an index with three subcomponents: equity, fixed income, and cash. The fund uses an algorithm to limit volatility, allocating between the three subcomponents.",0,,7/31/2017,DeltaShares S&P 500 Managed Risk,ETF,[],[],61.4066,2385590270,DeltaShares S&P 500 Managed Risk,$,DeltaShares S&P 500 Managed Risk ETF,DeltaShares S&P 500 Managed Risk ETF,
2022,DMRS,DeltaShares S&P 600 Managed Risk,USD,NYSE Arca,,"DMRS was created on 07/31/17 by Transamerica Funds. The ETF tracks an index that shifts allocations between US small-cap stocks, Treasurys, and cash through a rules-based methodology determined by overall portfolio volatility.",0,,7/31/2017,DeltaShares S&P 600 Managed Risk,ETF,[],[],49.1379,490299584,DeltaShares S&P 600 Managed Risk,$,DeltaShares S&P 600 Managed Risk ETF,DeltaShares S&P 600 Managed Risk ETF,
2023,DMRE,DeltaShares S&P EM 100 & Managed Risk ETF,USD,NYSE Arca,,,0,,,DeltaShares S&P EM 100 & Managed Risk ETF,ETF,,,53.4799,0,DeltaShares S&P EM 100 & Managed Risk ETF,$,DeltaShares S&P EM 100 & Managed Risk,DeltaShares S&P EM 100 & Managed Risk,
2024,DMRI,DeltaShares S&P International Managed Risk,USD,NYSE Arca,,DMRI was created on 07/31/17 by Transamerica Funds. The ETF tracks an index primarily consisting of large- and midcap equity from developed markets outside the US. The fund limits volatility and downside risk with positions in US T-bills and 5-year Treasurys.,0,,7/31/2017,DeltaShares S&P International Managed Risk,ETF,[],[],46.695,193925250,DeltaShares S&P International Managed Risk,$,0,DeltaShares S&P International Managed Risk,
4209,IYLD,iShares Morningstar Multi-Asset Income,USD,ETF,,"IYLD was created on 04/05/12 by Blackrock. The ETF tracks an index of fixed-income, equity, preferred-stock and REIT ETFs with a focus on income production.",0,,4/5/2012,iShares Morningstar Multi-Asset Income,ETF,[],[],23.15,312858000,iShares Morningstar Multi-Asset Income,$,iShares Morningstar Multi-Asset Income ETF,iShares Morningstar Multi-Asset Income ETF,
2036,DB,Deutsche Bank AG,EUR,NYSE,Banks Regional,"Deutsche Bank AG engages in the provision of corporate banking and investment services. The company is headquartered in Frankfurt, Hessen and currently employs 89,958 full-time employees. The firm offers a range of investment, financial and related products and services to private individuals, corporate entities and institutional clients. The company operates through six divisions: Global Markets, which offers financial products, including trading and hedging services to institutions and corporate clients; Corporate & Investment Banking, which brings together its commercial banking, corporate finance and transaction banking capability; Private, Wealth and Commercial Clients, which combines its capability in private and commercial banking, as well as in wealth management solutions; Deutsche Asset Management, whose investment capabilities span both active and passive strategies and an array of asset classes, including equities, fixed income, real estate and sustainable investments; Postbank, which is a German financial service provider for retail, business and corporate clients, and Non-Core Operations Unit.",Financial Services,DE,1870-05-30,Deutsche Bank AG,ETF,"['Financial Services', 'Banks - Regional - Europe', 'Banks']","['BCS', 'CS', 'SAN', 'GS', 'HSBC', 'JPM']",10.48,21628309500,Deutsche Bank AG,€,Deutsche Bank,Deutsche Bank,
2038,KMM,Deutsche Multi-Market Income Trust Common Sshares of Beneficial Interest,USD,NYSE,Asset Management,,Financial Services,,,Deutsche Multi-Market Income Trust Common Sshares,ETF,"['Financial Services', 'Asset Management']",[],9.01,201987223,Deutsche Multi-Market Income Trust Common Sshares of Beneficial Interest,$,0,Deutsche Multi-Market Income Trust Common Sshares,
2039,KST,Deutsche Strategic Income Trust Shares of Beneficial Interest,USD,NYSE,Asset Management,,Financial Services,,,Deutsche Strategic Income Trust Shares,ETF,"['Financial Services', 'Asset Management']",[],12.58,4553960000,Deutsche Strategic Income Trust Shares of Beneficial Interest,$,0,Deutsche Strategic Income Trust Shares,
4377,IEO,iShares U.S. Oil & Gas Exploration & Production,USD,ETF,,IEO was created on 05/01/06 by Blackrock. The ETF tracks a market cap weighted index of companies in the U.S. oil and gas exploration and production space according to Dow Jones.,0,,5/1/2006,iShares U.S. Oil & Gas Exploration & Production,ETF,[],[],30.33,289989530,iShares U.S. Oil & Gas Exploration & Production,$,iShares US Oil & Gas Exploration & Production ETF,iShares US Oil & Gas Exploration & Production ETF,
2071,DDT,Dillard's Capital Trust I,USD,NYSE,Retail Apparel & Specialty,,Consumer Cyclical,,,Dillard's Capital Trust I,ETF,"['Consumer Cyclical', 'Department Stores', 'Retail - Apparel & Specialty']",[],24.5,0,Dillard's Capital Trust I,$,Dillard's (Preferred),Dillard's (Preferred),
2075,KNOW,Direxion All Cap Insider Sentiment Shares,USD,NYSE Arca,,KNOW was created on 12/08/11 by Direxion. The ETF tracks an index of 100 companies chosen from the S&P 1500 based on trading by corporate insiders. 50 stocks are weighted exponentially; 50 are equal weighted.,0,,12/8/2011,Direxion All Cap Insider Sentiment Shares,ETF,[],[],35.8288,152858660,Direxion All Cap Insider Sentiment Shares,$,0,Direxion All Cap Insider Sentiment Shares,
2076,COM,Direxion Auspice Broad Commodity Strategy,USD,NYSE Arca,,"COM was created on 03/30/17 by Direxion. The ETF is an actively managed fund that aims to outperform a broad-market index of commodity futures. The index consists of 12 commodities, weighted by volatility, that can toggle to cash based on momentum.",0,,3/30/2017,Direxion Auspice Broad Commodity Strategy,ETF,[],[],23.7609,42182374,Direxion Auspice Broad Commodity Strategy,$,0,Direxion Auspice Broad Commodity Strategy,
2077,TYO,Direxion Daily 10-Yr Treasury Bear 3x Shrs,USD,NYSE Arca,,TYO was created on 04/16/09 by Direxion. The ETF provides daily -3x exposure to a market-value weighted index of U.S. Treasury bonds with remaining maturities between 7 and 10 years.,0,,4/16/2009,Direxion Daily 10-Yr Treasury Bear 3x Shrs,ETF,[],[],8.1999,15876000,Direxion Daily 10-Yr Treasury Bear 3x Shrs,$,0,Direxion Daily 10-Yr Treasury Bear 3x Shrs,
2078,TYD,Direxion Daily 10-Yr Treasury Bull 3x Shrs,USD,NYSE Arca,,TYD was created on 04/16/09 by Direxion. The ETF provides daily 3x exposure to a market-value weighted index of U.S. Treasury bonds with remaining maturities between 7 and 10 years.,0,,4/16/2009,Direxion Daily 10-Yr Treasury Bull 3x Shrs,ETF,[],[],64.1,13461000,Direxion Daily 10-Yr Treasury Bull 3x Shrs,$,0,Direxion Daily 10-Yr Treasury Bull 3x Shrs,
2079,TYBS,Direxion Daily 20 Year Treasury Bear 1X Shares,USD,NYSE Arca,,TYBS was created on 03/23/11 by Direxion. The ETF provides daily inverse exposure to a market-value weighted index of U.S. Treasury bonds with over 20 years to maturity.,0,,3/23/2011,Direxion Daily 20 Year Treasury Bear 1X Shares,ETF,[],[],13.84,4001760,Direxion Daily 20 Year Treasury Bear 1X Shares,$,0,Direxion Daily 20 Year Treasury Bear 1X Shares,
2080,TMV,Direxion Daily 20-Year Treasury Bear 3X,USD,NYSE Arca,,TMV was created on 04/16/09 by Direxion. The ETF provides -3x daily exposure to an index of U.S. Treasury bonds with over 20 years to maturity.,0,,4/16/2009,Direxion Daily 20-Year Treasury Bear 3X,ETF,[],[],57.12,216004324,Direxion Daily 20-Year Treasury Bear 3X,$,Direxion Daily 20+ Year Treasury Bear 3x Shares ETF,Direxion Daily 20+ Year Treasury Bear 3x Shares ETF,
2081,TMF,Direxion Daily 20-Yr Treasury Bull 3x Shrs,USD,NYSE Arca,,TMF was created on 04/16/09 by Direxion. The ETF provides 3x daily exposure to a market-value weighted index of U.S. Treasury Bonds with over 20 years to maturity.,0,,4/16/2009,Direxion Daily 20-Yr Treasury Bull 3x Shrs,ETF,[],[],34.56,108955000,Direxion Daily 20-Yr Treasury Bull 3x Shrs,$,0,Direxion Daily 20-Yr Treasury Bull 3x Shrs,
2082,TYNS,Direxion Daily 7 10 Year Treasury Bear 1X Shares,USD,NYSE Arca,,,0,,,Direxion Daily 7 10 Year Treasury Bear 1X Shares,ETF,[],[],28.18,1390273,Direxion Daily 7 10 Year Treasury Bear 1X Shares,$,0,Direxion Daily 7 10 Year Treasury Bear 1X Shares,
2083,DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,USD,NYSE Arca,,DFEN was created on 05/03/17 by Direxion. The ETF provides 3X leveraged exposure to a market-cap- weighted index of US aerospace and defense companies.,0,,5/3/2017,Direxion Daily Aerospace & Defense Bull 3X Shares,ETF,[],[],13.54,62127048,Direxion Daily Aerospace & Defense Bull 3X Shares,$,0,Direxion Daily Aerospace & Defense Bull 3X Shares,
2084,BRZU,Direxion Daily Brazil Bull 3X Shares,USD,NYSE Arca,,BRZU was created on 04/10/13 by Direxion. The ETF provides 2x daily leveraged exposure to a market-cap-weighted index of large- and midcap Brazilian companies.,0,,4/10/2013,Direxion Daily Brazil Bull 3X Shares,ETF,[],[],85.59,406413180,Direxion Daily Brazil Bull 3X Shares,$,0,Direxion Daily Brazil Bull 3X Shares,
2085,PASS,Direxion Daily Cnsmr Discret Bear 3XShrs,USD,NYSE Arca,,PASS was created on 11/29/18 by Direxion. The Direxion Daily Consumer Discretionary Bear 3x Shares ETF provides -3x leveraged exposure to the U.S. consumer discretionary sector.,0,,11/29/2018,Direxion Daily Cnsmr Discret Bear 3XShrs,ETF,,,37.5122,0,Direxion Daily Cnsmr Discret Bear 3XShrs,$,0,Direxion Daily Cnsmr Discret Bear 3XShrs,
2086,WANT,Direxion Daily Cnsmr Discret Bull 3XShrs,USD,NYSE Arca,,WANT was created on 11/29/18 by Direxion. The Direxion Daily Consumer Discretionary Bull 3x Shares ETF provides 3x leveraged exposure to the U.S. consumer discretionary sector.,0,,11/29/2018,Direxion Daily Cnsmr Discret Bull 3XShrs,ETF,,,44.09,0,Direxion Daily Cnsmr Discret Bull 3XShrs,$,0,Direxion Daily Cnsmr Discret Bull 3XShrs,
2087,LACK,Direxion Daily Cnsmr Staples Bear 3XShrs,USD,NYSE Arca,,LACK was created on 11/29/18 by Direxion. The Direxion Daily Consumer Staples Bear -3x Shares ETF provides 3x leveraged exposure to the U.S. consumer non-discretionary sector.,0,,11/29/2018,Direxion Daily Cnsmr Staples Bear 3XShrs,ETF,,,7.7832,0,Direxion Daily Cnsmr Staples Bear 3XShrs,$,0,Direxion Daily Cnsmr Staples Bear 3XShrs,
2088,NEED,Direxion Daily Cnsmr Staples Bull 3XShrs,USD,NYSE Arca,,NEED was created on 11/29/18 by Direxion. The Direxion Daily Consumer Staples Bull 3x Shares ETF provides 3x leveraged exposure to the U.S. consumer non-discretionary sector.,0,,11/29/2018,Direxion Daily Cnsmr Staples Bull 3XShrs,ETF,,,32.194,0,Direxion Daily Cnsmr Staples Bull 3XShrs,$,0,Direxion Daily Cnsmr Staples Bull 3XShrs,
2089,MUTE,Direxion Daily Communication Services Index Bear 3X Shares,USD,NYSE Arca,,MUTE was created on 01/14/19 by Direxion. The Direxion Daily Communication Services Index Bear 3x Shares provides -3x inverse exposure to a market-cap-weighted index of US large-cap companies in the telecommunications industry.,0,,1/14/2019,Direxion Daily Communication Services Index Bear 3X Shares,ETF,,,45.6496,0,Direxion Daily Communication Services Index Bear 3X Shares,$,0,Direxion Daily Communication Services Index Bear 3X Shares,
2090,TAWK,Direxion Daily Communication Services Index Bull 3X Shares,USD,NYSE Arca,,TAWK was created on 01/14/19 by Direxion. The Direxion Daily Communication Services Index Bull 3x Shares provides 3x inverse exposure to a market-cap-weighted index of US large-cap companies in the telecommunications industry.,0,,1/14/2019,Direxion Daily Communication Services Index Bull 3X Shares,ETF,,,42.2297,0,Direxion Daily Communication Services Index Bull 3X Shares,$,0,Direxion Daily Communication Services Index Bull 3X Shares,
2091,CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares,USD,NYSE Arca,,CHAU was created on 04/16/15 by Direxion. The ETF provides daily 2x leveraged exposure to an index of the 300 largest and most liquid Chinese shares traded on the Shanghai and Shenzhen exchanges.,0,,4/16/2015,Direxion Daily CSI 300 China A Share Bull 2X Shares,ETF,[],[],36.22,172575000,Direxion Daily CSI 300 China A Share Bull 2X Shares,$,0,Direxion Daily CSI 300 China A Share Bull 2X Shares,
2092,CHAD,Direxion Daily CSI 300 China A Shares Bear 1X Shares,USD,NYSE Arca,,CHAD was created on 06/17/15 by Direxion. The ETF provides daily inverse exposure to an index of the 300 largest and most liquid Chinese shares traded on the Shanghai and Shenzhen exchanges.,0,,6/17/2015,Direxion Daily CSI 300 China A Shares Bear 1X Shares,ETF,[],[],19.2,195456000,Direxion Daily CSI 300 China A Shares Bear 1X Shares,$,0,Direxion Daily CSI 300 China A Shares Bear 1X Shares,
2093,CWEB,Direxion Daily CSI China Internet Index Bull 2X Shares,USD,NYSE Arca,,CWEB was created on 11/02/16 by Direxion. The ETF provides 2x leveraged daily exposure to an index composed of overseas-listed Chinese internet companies.,0,,11/2/2016,Direxion Daily CSI China Internet Index Bull 2X Shares,ETF,[],[],56.09,78412531,Direxion Daily CSI China Internet Index Bull 2X Shares,$,Direxion Daily CSI China Internet Index Bull 2X Shares,Direxion Daily CSI China Internet Index Bull 2X Shares,
2094,WEBS,Direxion Daily Dow Jones Internet Bear 3X Shares,USD,NYSE Arca,,WEBS was created on 11/07/19 by Direxion. The ETF provides 3x daily inverse exposure to a market-cap-weighted index of the largest and most liquid U.S. Internet companies.,0,,11/7/2019,Direxion Daily Dow Jones Internet Bear 3X Shares,ETF,,,36.595,0,Direxion Daily Dow Jones Internet Bear 3X Shares,$,0,Direxion Daily Dow Jones Internet Bear 3X Shares,
2095,WEBL,Direxion Daily Dow Jones Internet Bull 3X Shares,USD,NYSE Arca,,WEBL was created on 11/07/19 by Direxion. The ETF provides 3x leveraged daily exposure to a market-cap-weighted index of the largest and most liquid U.S. Internet companies.,0,,11/7/2019,Direxion Daily Dow Jones Internet Bull 3X Shares,ETF,,,51.37,0,Direxion Daily Dow Jones Internet Bull 3X Shares,$,0,Direxion Daily Dow Jones Internet Bull 3X Shares,
2096,ERY,Direxion Daily Energy Bear 3X Shares,USD,NYSE Arca,,ERY was created on 11/06/08 by Direxion. The ETF provides 2x inverse exposure to a market-cap-weighted index of US large-cap companies in the energy industry.,0,,11/6/2008,Direxion Daily Energy Bear 3X Shares,ETF,[],[],48.88,26224892,Direxion Daily Energy Bear 3X Shares,$,0,Direxion Daily Energy Bear 3X Shares,
2097,EUXL,Direxion Daily EURO STOXX 50? Bull 3X Shares,USD,NYSE Arca,,,0,,,Direxion Daily EURO STOXX 50? Bull 3X Shares,ETF,[],[],19.08,2839519,Direxion Daily EURO STOXX 50 Bull 3X Shares,$,0,Direxion Daily EURO STOXX 50? Bull 3X Shares,
2098,EUFL,Direxion Daily European Financials Bull 2X Shares,USD,NYSE Arca,,,0,,,Direxion Daily European Financials Bull 2X Shares,ETF,[],[],11.92,9306031,Direxion Daily European Financials Bull 2X Shares,$,0,Direxion Daily European Financials Bull 2X Shares,
2099,YANG,Direxion Daily FTSE China Bear 3x Shares,USD,NYSE Arca,,YANG was created on 12/03/09 by Direxion. The ETF provides daily 3x leveraged exposure to a cap-weighted index of the 50 largest Chinese stocks traded in Hong Kong.,0,,12/3/2009,Direxion Daily FTSE China Bear 3x Shares,ETF,[],[],16.28,84422976,Direxion Daily FTSE China Bear 3x Shares,$,0,Direxion Daily FTSE China Bear 3x Shares,
2100,YINN,Direxion Daily FTSE China Bull 3x Shares,USD,NYSE Arca,,YINN was created on 12/03/09 by Direxion. The ETF provides daily 3x leveraged exposure to a cap-weighted index of the 50 largest Chinese stocks traded in Hong Kong.,0,,12/3/2009,Direxion Daily FTSE China Bull 3x Shares,ETF,[],[],20.91,425100338,Direxion Daily FTSE China Bull 3x Shares,$,Direxion FTSE Daily China Bull ETF,Direxion FTSE Daily China Bull ETF,
2101,EURL,Direxion Daily FTSE Europe Bull 3x Shares,USD,NYSE Arca,,EURL was created on 01/22/14 by Direxion. The ETF provides 3X daily levered exposure to a market-cap-weighted index of companies in developed Europe.,0,,1/22/2014,Direxion Daily FTSE Europe Bull 3x Shares,ETF,[],[],21.61,31878029,Direxion Daily FTSE Europe Bull 3x Shares,$,Direxion Daily FTSE Europe Bull 3X ETF,Direxion Daily FTSE Europe Bull 3X ETF,
2102,DUST,Direxion Daily Gold Miners Index Bear 3X Shares,USD,NYSE Arca,,DUST was created on 12/08/10 by Direxion. The ETF provides 2x inverse exposure to a market-cap-weighted index of global gold and silver mining firms.,0,,12/8/2010,Direxion Daily Gold Miners Index Bear 3X Shares,ETF,[],[],19.73,264750944,Direxion Daily Gold Miners Index Bear 3X Shares,$,Direxion Daily Gold Miners Index Bear 2X Shares,Direxion Daily Gold Miners Index Bear 2X Shares,
2103,NUGT,Direxion Daily Gold Miners Index Bull 3X Shares,USD,NYSE Arca,,NUGT was created on 12/08/10 by Direxion. The ETF provides 2x leveraged exposure to a market-cap-weighted index of global gold and silver mining firms.,0,,12/8/2010,Direxion Daily Gold Miners Index Bull 3X Shares,ETF,[],[],74.37,1152664936,Direxion Daily Gold Miners Index Bull 3X Shares,$,Direxion Daily Gold Miners Index Bull 2X Shares,Direxion Daily Gold Miners Index Bull 2X Shares,
2104,CURE,Direxion Daily Healthcare Bull 3X Shares,USD,NYSE Arca,,CURE was created on 06/15/11 by Direxion. The ETF provides 3x levered exposure to a market cap weighted sub-index of the S&P 500 that tracks the performance of US listed health care companies.,0,,6/15/2011,Direxion Daily Healthcare Bull 3X Shares,ETF,[],[],72.08,148029416,Direxion Daily Healthcare Bull 3X Shares,$,0,Direxion Daily Healthcare Bull 3X Shares,
2105,HYDD,Direxion Daily High Yield Bear 2X Shares,USD,NYSE Arca,,,0,,,Direxion Daily High Yield Bear 2X Shares,ETF,[],[],17.13,3354017,Direxion Daily High Yield Bear 2X Shares,$,0,Direxion Daily High Yield Bear 2X Shares,
2106,NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares,USD,NYSE Arca,,NAIL was created on 08/19/15 by Direxion. The ETF provides 3x leveraged bullish exposure to an index composed of US companies within the home construction sector.,0,,8/19/2015,Direxion Daily Homebuilders & Supplies Bull 3X Shares,ETF,[],[],46.47,42493500,Direxion Daily Homebuilders & Supplies Bull 3X Shares,$,0,Direxion Daily Homebuilders & Supplies Bull 3X Shares,
2107,DUSL,Direxion Daily Industrials Bull 3X Shares,USD,NYSE Arca,,DUSL was created on 05/03/17 by Direxion. The ETF provides 3X leveraged exposure to a market-cap-weighted index of US industrial companies.,0,,5/3/2017,Direxion Daily Industrials Bull 3X Shares,ETF,[],[],25.56,6645553,Direxion Daily Industrials Bull 3X Shares,$,Direxion Daily Industrials Bull 3X Shares,Direxion Daily Industrials Bull 3X Shares,
2108,JPNL,Direxion Daily Japan Bull 3X,USD,NYSE Arca,,"JPNL was created on 06/26/13 by Direxion. The ETF seeks 3x the daily performance of the MSCI Japan Index, which covers 85% of the float-adjusted market cap of the Japanese equity market.",0,,6/26/2013,Direxion Daily Japan Bull 3X,ETF,[],[],50.49,13035052,Direxion Daily Japan Bull 3X,$,0,Direxion Daily Japan Bull 3X,
2109,JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,USD,NYSE Arca,,JDST was created on 10/03/13 by Direxion. The ETF provides daily -2x exposure to an index of junior gold and silver mining companies from developed as well as emerging markets.,0,,10/3/2013,Direxion Daily Junior Gold Miners Index Bear 3X Shares,ETF,[],[],11.26,69230890,Direxion Daily Junior Gold Miners Index Bear 3X Shares,$,0,Direxion Daily Junior Gold Miners Index Bear 3X Shares,
2110,JNUG,Direxion Daily Junior Gold Miners Index Bull 3X Shares,USD,NYSE Arca,,JNUG was created on 10/03/13 by Direxion. The ETF provides daily 2x exposure to an index of junior gold and silver mining companies from developed as well as emerging markets.,0,,10/3/2013,Direxion Daily Junior Gold Miners Index Bull 3X Shares,ETF,[],[],113.95,688142943,Direxion Daily Junior Gold Miners Index Bull 3X Shares,$,0,Direxion Daily Junior Gold Miners Index Bull 3X Shares,
2111,LBJ,Direxion Daily Latin America 3x Bull Shares,USD,NYSE Arca,,"LBJ was created on 12/03/09 by Direxion. The ETF provides daily 3x exposure to a market-cap-weighted index covering 70% of the total market capitalization of Brazil, Mexico, Chile, Peru, and Colombia.",0,,12/3/2009,Direxion Daily Latin America 3x Bull Shares,ETF,[],[],57.6,16316197,Direxion Daily Latin America 3x Bull Shares,$,0,Direxion Daily Latin America 3x Bull Shares,
2112,INDL,Direxion Daily MSCI India Bull 3x Shares,USD,NYSE Arca,,INDL was created on 03/11/10 by Direxion. The ETF provides daily 3x exposure to an index designed to track the performance of the Indian equity market.,0,,3/11/2010,Direxion Daily MSCI India Bull 3x Shares,ETF,[],[],35.55,88755759,Direxion Daily MSCI India Bull 3x Shares,$,Direxion Daily MSCI India Bull 2X Shares,Direxion Daily MSCI India Bull 2X Shares,
2113,MEXX,Direxion Daily MSCI Mexico Bull 3X Shares,USD,NYSE Arca,,"MEXX was created on 05/03/17 by Direxion. The ETF offers daily leveraged 3X exposure to a broad, market- cap-weighted index of Mexican firms.",0,,5/3/2017,Direxion Daily MSCI Mexico Bull 3X Shares,ETF,[],[],46.6,8450013,Direxion Daily MSCI Mexico Bull 3X Shares,$,0,Direxion Daily MSCI Mexico Bull 3X Shares,
2114,GASX,Direxion Daily Natural Gas Related Bear 3X Shares,USD,NYSE Arca,,,0,,,Direxion Daily Natural Gas Related Bear 3X Shares,ETF,[],[],16,143963632,Direxion Daily Natural Gas Related Bear 3X Shares,$,0,Direxion Daily Natural Gas Related Bear 3X Shares,
2115,GASL,Direxion Daily Natural Gas Related Bull 3X Shares,USD,NYSE Arca,,,0,,,Direxion Daily Natural Gas Related Bull 3X Shares,ETF,[],[],6.34,35678026,Direxion Daily Natural Gas Related Bull 3X Shares,$,0,Direxion Daily Natural Gas Related Bull 3X Shares,
2116,PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,USD,NYSE Arca,,PILL was created on 11/15/17 by Direxion. The ETF provides 3x daily exposure to a modified equal weighted index of pharmaceutical companies in the US.,0,,11/15/2017,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,ETF,[],[],20.41,3356167,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,$,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,
